"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-2.8179332499169,-0.161787318842174,-5.69996828030645,0,1,0,0
"Retention Index",-0.395903931826858,2.31483410588099,-2.96902635319518,0.37125748502994,0.622754491017964,0.754491017964072,0.374251497005988
