"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",2.55686230241392,4.72632122567421,0.00659410007070016,0.99001996007984,0.00998003992015968,0.0199600798403194,0.99001996007984
"Retention Index",1.27403051094364,3.93772643061134,-1.10011099750628,0.904191616766467,0.0958083832335329,0.191616766467066,0.904191616766467
